
============================================================
[AUTO-GA] Starting: exp_same_equal_v2
Command: C:\Users\perve\AppData\Local\Programs\Python\Python313\python.exe C:\Users\perve\Desktop\Algoritmet-e-inspiruara-nga-natyra\AA_25-26-main\AA_25-26-main\ga_experiment.py --runs 10 --total-time 5100.0 --time-buffer 0 --population-size 50 --mutation-rate 0.30 --stagnation-limit 20 --min-runtime-before-stop 0 --max-instance-time 300.0 --clean-output --experiment-name exp_same_equal_v2 --profile single --time-profile equal
============================================================
Run 10 | youtube_gold.json | time=300.0s | left=3316.3s
Run 10 | youtube_premium.json | time=300.0s | left=3015.1s
Summary saved: C:\Users\perve\Desktop\Algoritmet-e-inspiruara-nga-natyra\AA_25-26-main\AA_25-26-main\data\output\genetic_algorithm\experiments\exp_same_equal_v2\summary.json

============================================================
[AUTO-GA] Starting: exp_tuned_equal_v2
Command: C:\Users\perve\AppData\Local\Programs\Python\Python313\python.exe C:\Users\perve\Desktop\Algoritmet-e-inspiruara-nga-natyra\AA_25-26-main\AA_25-26-main\ga_experiment.py --runs 10 --total-time 5100.0 --time-buffer 0 --population-size 50 --mutation-rate 0.30 --stagnation-limit 20 --min-runtime-before-stop 0 --max-instance-time 300.0 --clean-output --experiment-name exp_tuned_equal_v2 --profile tuned --time-profile equal
============================================================
Run 1 | australia_iptv.json | time=300.0s | left=5100.0s
Run 1 | canada_pw.json | time=300.0s | left=5096.5s
Run 1 | china_pw.json | time=300.0s | left=5087.4s
Run 1 | croatia_tv_input.json | time=300.0s | left=5044.9s
Run 1 | france_iptv.json | time=300.0s | left=5029.2s
Run 1 | germany_tv_input.json | time=300.0s | left=4729.0s
Run 1 | kosovo_tv_input.json | time=300.0s | left=4718.5s
Run 1 | netherlands_tv_input.json | time=300.0s | left=4707.3s
Run 1 | singapore_pw.json | time=300.0s | left=4700.6s
Run 1 | spain_iptv.json | time=300.0s | left=4686.2s
Run 1 | toy.json | time=300.0s | left=4677.6s
Run 1 | uk_iptv.json | time=300.0s | left=4676.5s
Run 1 | uk_tv_input.json | time=300.0s | left=4662.6s
Run 1 | usa_tv_input.json | time=300.0s | left=4654.5s
Run 1 | us_iptv.json | time=300.0s | left=4622.2s
Run 1 | youtube_gold.json | time=300.0s | left=4404.1s
Run 1 | youtube_premium.json | time=300.0s | left=4354.5s
Run 2 | australia_iptv.json | time=300.0s | left=5100.0s
Run 2 | canada_pw.json | time=300.0s | left=5097.8s
Run 2 | china_pw.json | time=300.0s | left=5095.8s
Run 2 | croatia_tv_input.json | time=300.0s | left=5085.0s
Run 2 | france_iptv.json | time=300.0s | left=5078.9s
Run 2 | germany_tv_input.json | time=300.0s | left=4877.3s
Run 2 | kosovo_tv_input.json | time=300.0s | left=4867.1s
Run 2 | netherlands_tv_input.json | time=300.0s | left=4860.5s
Run 2 | singapore_pw.json | time=300.0s | left=4853.8s
Run 2 | spain_iptv.json | time=300.0s | left=4831.9s
Run 2 | toy.json | time=300.0s | left=4821.4s
Run 2 | uk_iptv.json | time=300.0s | left=4820.3s
Run 2 | uk_tv_input.json | time=300.0s | left=4803.3s
Run 2 | usa_tv_input.json | time=300.0s | left=4794.0s
Run 2 | us_iptv.json | time=300.0s | left=4761.9s
Run 2 | youtube_gold.json | time=300.0s | left=4601.4s
Run 2 | youtube_premium.json | time=300.0s | left=4561.5s
Run 3 | australia_iptv.json | time=300.0s | left=5100.0s
